,precision,recall,f1-score,support
aminocoumarin antibiotic,0.022727272727272728,0.5,0.043478260869565216,2.0
aminoglycoside antibiotic,0.5714285714285714,0.5217391304347826,0.5454545454545454,46.0
carbapenem,0.45645645645645644,0.310838445807771,0.36982968369829683,489.0
cephalosporin,0.6153846153846154,0.4283646888567294,0.5051194539249146,691.0
diaminopyrimidine antibiotic,0.5238095238095238,0.5238095238095238,0.5238095238095238,21.0
disinfecting agents and antiseptics,0.06451612903225806,0.16666666666666666,0.09302325581395349,12.0
fluoroquinolone antibiotic,0.8,0.45454545454545453,0.5797101449275363,44.0
glycopeptide antibiotic,0.4230769230769231,0.6470588235294118,0.5116279069767442,17.0
glycylcycline,0.0,0.0,0.0,3.0
lincosamide antibiotic,0.0,0.0,0.0,19.0
macrolide antibiotic,0.0,0.0,0.0,38.0
monobactam,0.31501340482573725,0.8867924528301887,0.4648862512363996,265.0
nitroimidazole antibiotic,0.25,0.5,0.3333333333333333,2.0
nucleoside antibiotic,0.0,0.0,0.0,5.0
other_antibiotics,0.07692307692307693,0.3333333333333333,0.125,3.0
oxazolidinone antibiotic,0.125,0.2,0.15384615384615385,5.0
penicillin beta-lactam,0.5196304849884527,0.3646677471636953,0.42857142857142855,617.0
peptide antibiotic,0.8666666666666667,0.896551724137931,0.8813559322033898,29.0
phenicol antibiotic,0.26666666666666666,0.25,0.25806451612903225,16.0
phosphonic acid antibiotic,0.16666666666666666,0.6666666666666666,0.26666666666666666,3.0
pleuromutilin antibiotic,0.12,0.5,0.1935483870967742,6.0
rifamycin antibiotic,0.2727272727272727,0.5,0.35294117647058826,6.0
streptogramin A antibiotic,0.0,0.0,0.0,5.0
streptogramin B antibiotic,0.0,0.0,0.0,10.0
streptogramin antibiotic,0.125,0.06451612903225806,0.0851063829787234,31.0
sulfonamide antibiotic,0.0,0.0,0.0,3.0
tetracycline antibiotic,0.47058823529411764,0.2222222222222222,0.3018867924528302,36.0
accuracy,0.4240924092409241,0.4240924092409241,0.4240924092409241,0.4240924092409241
macro avg,0.26119562839534366,0.3310286299643198,0.2598985109800148,2424.0
weighted avg,0.489873975810337,0.4240924092409241,0.4282554302741498,2424.0
